Date,US,EU,INDIA,JAPAN,VIX
2021-12-02,4577.10009765625,4108.02001953125,17401.650390625,27753.369140625,27.950000762939453
2021-12-03,4538.43017578125,4080.14990234375,17196.69921875,28029.5703125,30.670000076293945
2021-12-06,4591.669921875,4137.10986328125,16912.25,27927.369140625,27.18000030517578
2021-12-07,4686.75,4276.2001953125,17176.69921875,28455.599609375,21.889999389648438
2021-12-08,4701.2099609375,4233.08984375,17469.75,28860.619140625,19.899999618530273
2021-12-09,4667.4501953125,4208.2998046875,17516.849609375,28725.470703125,21.579999923706055
2021-12-10,4712.02001953125,4199.16015625,17511.30078125,28437.76953125,18.690000534057617
2021-12-13,4668.97021484375,4183.0400390625,17368.25,28640.490234375,20.309999465942383
2021-12-14,4634.08984375,4144.509765625,17324.900390625,28432.640625,21.889999389648438
2021-12-15,4709.85009765625,4159.68017578125,17221.400390625,28459.720703125,19.290000915527344
2021-12-16,4668.669921875,4201.8701171875,17248.400390625,29066.3203125,20.56999969482422
2021-12-17,4620.64013671875,4161.35009765625,16985.19921875,28545.6796875,21.56999969482422
2021-12-20,4568.02001953125,4107.1298828125,16614.19921875,27937.810546875,22.8700008392334
2021-12-21,4649.22998046875,4174.990234375,16770.849609375,28517.58984375,21.010000228881836
2021-12-22,4696.56005859375,4217.06005859375,16955.44921875,28562.2109375,18.6299991607666
2021-12-23,4725.7900390625,4265.85986328125,17072.599609375,28798.369140625,17.959999084472656
2021-12-27,4791.18994140625,4287.97998046875,17086.25,28676.4609375,17.68000030517578
2021-12-28,4786.35009765625,4311.93017578125,17233.25,29069.16015625,17.540000915527344
2021-12-29,4793.06005859375,4284.830078125,17213.599609375,28906.880859375,16.950000762939453
2021-12-30,4778.72998046875,4306.06982421875,17203.94921875,28791.7109375,17.329999923706055
2022-01-04,4793.5400390625,4367.6201171875,17805.25,29301.7890625,16.90999984741211
2022-01-05,4700.580078125,4392.14990234375,17925.25,29332.16015625,19.729999542236328
2022-01-06,4696.0498046875,4324.81005859375,17745.900390625,28487.869140625,19.610000610351562
2022-01-07,4677.02978515625,4305.830078125,17812.69921875,28478.560546875,18.760000228881836
2022-01-11,4713.06982421875,4281.5400390625,18055.75,28222.48046875,18.40999984741211
2022-01-12,4726.35009765625,4316.39013671875,18212.349609375,28765.66015625,17.6200008392334
2022-01-13,4659.02978515625,4315.89990234375,18257.80078125,28489.130859375,20.309999465942383
2022-01-14,4662.85009765625,4272.18994140625,18255.75,28124.279296875,19.190000534057617
2022-01-18,4577.10986328125,4257.81982421875,18113.05078125,28257.25,22.790000915527344
2022-01-19,4532.759765625,4268.27978515625,17938.400390625,27467.23046875,23.850000381469727
2022-01-20,4482.72998046875,4299.60986328125,17757.0,27772.9296875,25.59000015258789
2022-01-21,4397.93994140625,4229.56005859375,17617.150390625,27522.259765625,28.850000381469727
2022-01-24,4410.1298828125,4054.360107421875,17149.099609375,27588.369140625,29.899999618530273
2022-01-25,4356.4501953125,4078.260009765625,17277.94921875,27131.33984375,31.15999984741211
2022-01-27,4326.509765625,4184.97021484375,17110.150390625,26170.30078125,30.489999771118164
2022-01-28,4431.85009765625,4136.91015625,17101.94921875,26717.33984375,27.65999984741211
2022-01-31,4515.5498046875,4174.60009765625,17339.849609375,27001.98046875,24.829999923706055
2022-02-01,4546.5400390625,4224.4501953125,17576.849609375,27078.48046875,21.959999084472656
